State,City,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,Total,Longitude,Latitude
,"Corpus Cristi, TX",1,2,0,2,1,1,1,0,0,0,0,3,0,0,0,0,2,1,1,1,0,1,1,5,1,4,2,0,2,0,1,0,1,1,1,4,2,0,1,5,0,1,2,4,5,60,27.8006,97.3964
,"Amarillo, TX",1,5,1,1,2,4,2,5,4,2,0,1,0,6,5,2,1,3,0,4,2,2,3,3,1,1,4,1,1,4,7,6,1,6,14,2,1,3,1,2,2,1,2,1,1,121,35.222,101.8313
,"Austin, TX",10,11,12,8,13,6,13,15,15,14,16,17,11,9,17,23,17,17,15,18,22,22,15,15,25,14,22,12,16,16,21,35,40,53,27,33,68,88,142,170,177,255,267,243,333,2408,30.2672,97.7431
TX,Texas,78,69,63,60,62,51,71,63,76,77,54,74,78,65,83,101,68,69,61,101,90,90,110,84,77,76,89,73,82,83,102,174,153,160,137,147,219,230,328,410,553,875,698,774,735,7973,,
UT,"Salt Lake City, UT",6,4,1,3,6,3,2,5,7,6,7,6,10,9,6,5,8,8,3,1,4,2,2,2,4,2,5,4,1,5,6,16,5,5,9,6,10,6,5,8,16,5,6,12,9,261,40.7608,111.891
VA,"Newport News, VA",2,3,3,5,3,1,1,1,2,1,4,1,2,2,4,1,0,3,1,3,2,1,1,1,2,0,2,0,5,1,1,3,3,4,4,7,8,13,4,5,12,3,12,18,8,163,37.0871,76.473
,"Vancouver, WA",,,,,,,,,,,,4,4,5,6,2,1,3,5,4,6,4,8,8,9,11,8,6,11,9,5,4,16,23,31,17,18,50,33,40,29,52,14,52,85,583,45.628,122.6739
,"Spokane, WA",1,4,0,0,1,1,1,2,2,1,2,0,0,0,0,0,5,2,0,5,2,0,4,1,2,3,3,3,1,3,1,2,1,4,8,17,5,5,3,4,3,10,25,23,99,259,47.658,117.4235
,Seattle,12,6,9,5,7,8,5,10,14,11,14,14,17,12,15,9,12,17,16,14,19,20,14,19,16,14,17,14,10,15,15,51,43,85,174,184,196,,,,,,,,,1133,47.6061,122.3328
WA,Washington,13,10,9,5,8,9,6,12,16,12,16,18,21,17,21,11,18,22,21,23,27,24,26,28,27,28,28,23,22,27,21,57,60,112,213,218,219,55,36,44,32,62,39,75,184,1975,,
,"Madison, WI",4,4,1,2,0,1,0,5,7,8,3,1,3,3,7,4,2,3,3,5,2,2,4,3,5,4,6,3,2,3,21,21,12,3,3,4,5,6,11,8,10,7,4,9,10,234,43.0722,89.4008
,"Milwaukee, WI",22,23,24,27,17,12,16,24,20,39,76,206,396,500,344,482,584,587,627,736,824,592,554,529,481,420,362,411,393,433,496,470,388,286,372,303,287,325,203,206,260,277,299,228,242,14403,43.0389,87.9065
